<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	8544
国	4733
中	2942
一	2448
是	2304
和	2153
在	2125
人	1847
有	1623
了	1563
会	1521
发	1480
不	1445
要	1442
大	1407
对	1400
作	1257
民	1211
为	1179
政	1143
美	1083
经	1076
展	1052
关	1045
年	1032
这	1012
进	976
行	949
主	946
方	931
出	916
个	907
上	891
重	862
实	854
来	844
我	825
地	820
两	808
以	800
新	798
他	789
问	775
全	769
力	769
台	761
家	761
成	745
部	738
系	736
们	735
合	733
法	730
表	726
同	708
说	705
与	705
现	688
事	676
到	673
加	663
日	661
军	639
业	639
定	629
题	625
时	624
本	620
济	606
战	597
于	593
工	583
强	571
理	569
分	566
能	565
将	558
开	557
也	555
党	554
制	548
建	547
代	542
动	539
就	536
0	528
高	525
多	525
面	524
前	522
世	521
化	519
社	516
导	512
好	509
湾	503
领	503
统	492
各	484
机	483
外	478
生	477
持	476
利	474
之	469
自	469
1	466
议	465
平	462
长	459
十	457
提	456
共	456
度	451
员	450
后	450
基	436
当	432
意	430
过	428
得	428
此	424
用	421
义	417
下	416
可	412
三	412
应	412
府	409
次	391
正	388
其	388
权	386
产	385
改	384
总	383
所	379
今	373
立	372
而	372
区	372
已	371
决	370
交	370
体	368
还	363
界	362
入	360
务	356
保	356
任	356
认	355
教	355
向	354
示	352
者	351
设	350
资	344
都	343
场	342
些	342
际	342
明	341
解	340
学	339
月	335
治	331
性	329
公	329
9	326
调	324
信	322
内	322
市	320
2	319
但	316
间	311
势	310
并	307
等	306
步	306
华	306
目	305
指	305
心	304
安	303
相	302
访	302
最	301
西	300
反	300
从	293
期	292
组	291
取	287
着	285
种	285
使	280
委	280
策	278
天	277
必	277
二	277
海	277
通	276
更	276
结	270
争	269
论	268
特	268
增	267
思	266
第	265
江	264
历	263
求	262
坚	260
联	259
如	256
局	255
原	255
报	254
北	254
去	254
因	252
然	251
文	250
深	249
情	248
程	247
企	247
技	246
科	246
五	246
李	244
想	243
谈	243
斯	243
达	242
双	241
位	240
布	240
则	240
推	239
计	238
道	236
革	234
干	234
防	232
